package	version	declared_license	source
aho-corasick	1.1.4	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
allocator-api2	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
android_system_properties	0.1.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anyhow	1.0.102	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arc-swap	1.9.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
archery	1.2.2	MIT	registry+https://github.com/rust-lang/crates.io-index
async-trait	0.1.89	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
atoi	2.0.0	MIT	registry+https://github.com/rust-lang/crates.io-index
autocfg	1.5.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
aws-lc-rs	1.17.0	ISC AND (Apache-2.0 OR ISC)	registry+https://github.com/rust-lang/crates.io-index
aws-lc-sys	0.41.0	ISC AND (Apache-2.0 OR ISC) AND Apache-2.0 AND MIT AND BSD-3-Clause AND (Apache-2.0 OR ISC OR MIT) AND (Apache-2.0 OR ISC OR MIT-0)	registry+https://github.com/rust-lang/crates.io-index
base64	0.22.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
base64ct	1.8.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
bigdecimal	0.4.10	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bindgen	0.66.1	BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
bitflags	2.11.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
block-buffer	0.10.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
block-buffer	0.12.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bumpalo	3.20.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
